generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mut_gain_swap,mut_gain_rotate,mut_gain_scramble,mut_gain_insertion
50,0.6650750675673015,0.7590970211622746,0.6523720875469954,0.683329081187493,0.6178643848889258,0.7623744119757808,0.0,-0.04213180188412526,-0.07521850381800407,-0.10959476673281951,-0.06011376025011,-0.0650021485655223,-0.06702346214449607
51,0.6700678654114773,0.7598259266384649,0.6588359631219043,0.6923900268122207,0.6178735646612056,0.7623744119757808,0.0,-0.03781891606050435,-0.0670071188721701,-0.05523268492389466,-0.05455294656980728,-0.08366819237882331,-0.0636597501395403
52,0.6710932678757512,0.7606119845724802,0.6593903533566312,0.6968737602705626,0.6146816487965059,0.7623744119757808,0.0,-0.05283565551698886,-0.06359135535164241,-0.06406292497957171,-0.07006715181362821,-0.06668964320055941,-0.02726246910306912
53,0.6665432981033688,0.7606720828359845,0.6558859943345046,0.6852560157860713,0.6173216154614691,0.7623744119757808,0.0,-0.050204745043678,-0.07563192507144809,-0.09194969812011451,-0.07389055380917542,-0.052628497472023646,-0.06575073821355581
54,0.661387242113744,0.7608879408575194,0.6478824245669752,0.6817316617074612,0.6100976614387084,0.7623744119757808,0.0,-0.06701558022376278,-0.07925807440270478,-0.08335797572800029,-0.08219616054280189,-0.08279875735130333,-0.06189066673536298
55,0.6612819559439873,0.7609480391210237,0.645323845050188,0.6819232228743949,0.6111769795736318,0.7623744119757808,0.0,-0.04761919099345656,-0.07885403192272228,-0.0754429402383757,-0.062191319542459794,-0.10441791852155027,-0.07840833251858402
56,0.6672273369955931,0.7611283339115367,0.6554508587075444,0.6887502200173972,0.615080812853239,0.7623744119757808,0.0,-0.039554428113992464,-0.07230023401512428,-0.06081634805323259,-0.09278408876112752,-0.06548090851114127,-0.07177122248117342
57,0.6596925811279313,0.7612840936695672,0.63964381821892,0.6798665996224568,0.6122958942273588,0.7623744119757808,0.0,-0.05424027354166215,-0.08130067422858739,-0.08464873776973433,-0.09645653293771964,-0.06941521212674748,-0.03961919696979466
58,0.6540529643705943,0.7614398534275977,0.6469308290852359,0.6684459850153804,0.6038147306821186,0.7623744119757808,0.0,-0.05873366067900029,-0.09322750804926316,-0.09519611106666126,-0.09451272803025755,-0.09060473874052562,-0.08870695515122377
59,0.6648155830289244,0.7615956131856282,0.6550359731510876,0.6789652975401677,0.6202090268802565,0.7623744119757808,0.0,-0.03822964733203955,-0.08263031564546061,-0.10683600489780548,-0.06374081833529076,-0.07045304232274362,-0.11107037197644565
60,0.6589256757002494,0.7617513729436587,0.6424020959891854,0.678345297281112,0.6097733343186725,0.7705752088265175,0.008200796850736713,-0.03411906665472191,-0.08321137596500852,-0.09114108688493493,-0.07067761407955786,-0.07398176901574578,-0.07857238541088857
61,0.6572541254592188,0.7638182054924338,0.6401225526045962,0.671851789969695,0.6136902613372616,0.7705752088265175,0.0,-0.04838501751251929,-0.09178169864920248,-0.10935954561934264,-0.07347174494557025,-0.10942314900537871,-0.05012102302864738
62,0.662033070234771,0.7639739652504643,0.6435828832486254,0.6777203357344839,0.6194365425540197,0.7705752088265175,0.0,-0.019768986517876737,-0.086448497913383,-0.1367071474472905,-0.07235497539600824,-0.10174738917772053,-0.08212107936264558
63,0.6599783898244083,0.7655124260011011,0.6360290505775809,0.675192305921196,0.6204813824676786,0.7705752088265175,0.0,-0.047681971762109136,-0.09027430068687012,-0.08378427048651475,-0.0841137017020863,-0.10895152549851146,-0.0721945138073635
64,0.6637883899068625,0.7663513392922205,0.6562400309671785,0.6796571746334553,0.6134745997694085,0.7705752088265175,0.0,-0.03819864251818505,-0.08595506733983574,-0.07015903186437242,-0.10883677323954598,-0.0978456834337594,-0.02207881378354004
65,0.6616754026904061,0.7678693136142745,0.6516142190591635,0.671809028941065,0.6194733864690664,0.7705752088265175,0.0,-0.07258950113104512,-0.09627554780876932,-0.10821666678201391,-0.09832518006434057,-0.09061237458460429,-0.05798817000295222
66,0.6554222610902559,0.7694483804603751,0.637857535654754,0.672352122811352,0.6065502226290904,0.7705752088265175,0.0,-0.06117094552087593,-0.09676687865742198,-0.10521685258476697,-0.11619249578808345,-0.05054531785191832,-0.07069719195327738
67,0.6588914955265598,0.769849003499889,0.6226724435178876,0.6868140189249117,0.6088216630100967,0.7705752088265175,0.0,-0.056107628910867055,-0.08299950008665928,-0.06856053942069656,-0.0743445620950315,-0.12869018935601434,-0.07500737282279939
68,0.6604848350030966,0.770249993301105,0.6363988316989873,0.6884498878347619,0.6026670473309481,0.7705752088265175,0.0,-0.07141334321518758,-0.0818152869069293,-0.07485308580772758,-0.06372193075506379,-0.10587206027820405,-0.0897141499175097
69,0.6641049182561031,0.7703721783491984,0.6375515898462251,0.6922809436857372,0.6088166832588111,0.7736604668640423,0.003085258037524796,-0.04486261297409286,-0.07808108313959508,-0.05067591952913574,-0.11463081181029917,-0.10110200221150985,-0.06983027543727102
70,0.6665842573950045,0.7708025224393424,0.658190334928627,0.6908686869984104,0.6050615445532694,0.7736604668640423,0.0,-0.04428336322074798,-0.07997444153639569,-0.09729618448085942,-0.05929802738453167,-0.08429271070867646,-0.05835492581009035
71,0.6667987003519277,0.7715007862377752,0.6373386877772845,0.6925528187829099,0.6171991888650995,0.7736604668640423,0.0,-0.061302070054864155,-0.0794107561604939,-0.1070243816267011,-0.05965788396795147,-0.0547593925422861,-0.08568535395514629
72,0.6570631494192309,0.7718093120415276,0.6408363220448023,0.6800000278308987,0.5990498089125278,0.7736604668640423,0.0,-0.06039352778182613,-0.09173215275969084,-0.08153087407269617,-0.11450859646092491,-0.07780461081554108,-0.0621649176092986
73,0.6551730648766132,0.7721178378452801,0.6494321938462602,0.6713836864003743,0.5984045592089441,0.7736604668640423,0.0,-0.05531686439964674,-0.10057988854302943,-0.12882547465844985,-0.0883538637205962,-0.09416485700236514,-0.08089480545473657
74,0.6681823154814608,0.7724263636490325,0.6471828247895896,0.6953306343636794,0.6112362013772269,0.7736604668640423,0.0,-0.04108592751628594,-0.07732712363816747,-0.06969309871866004,-0.06395314017175663,-0.05729351465589618,-0.12709288044923142
75,0.6643652097035389,0.7736604668640422,0.6425460984483207,0.6864292795228328,0.6130607717277898,0.7736604668640423,0.0,-0.06529344777511939,-0.08723118734120934,-0.06791576787283664,-0.10169258510877385,-0.07416674631814363,-0.09077281682865934
76,0.6599059197159821,0.7736604668640422,0.6454536220872754,0.675141724965769,0.6113081954193836,0.7736604668640423,0.0,-0.045259394929908055,-0.09851874189827338,-0.09873614411362402,-0.07931340617451006,-0.10969868237704267,-0.06072590767875591
77,0.663273677101938,0.7736604668640422,0.6379967291589719,0.6832059792664636,0.6167529762571788,0.7766222944409173,0.00296182757687502,-0.077735267161354,-0.09045448759757876,-0.0675289661910398,-0.12173053797767025,-0.07450571332180604,-0.04090741917777896
78,0.6653519243713296,0.7739566496217296,0.6778506495826833,0.6785324982570874,0.6032437672992831,0.7766222944409173,0.0,-0.04777432098056099,-0.09520201429637679,-0.09777091555256226,-0.04994311979286248,-0.06755472166909844,-0.12220784569501333
79,0.6613949942017089,0.7739566496217296,0.6567313434888614,0.6760773441369641,0.6074070762899272,0.7766222944409173,0.0,-0.049159003906484144,-0.09780525979534402,-0.09587363278943767,-0.08916292554035465,-0.11156530080890027,-0.08364501776054033
