timestamp,pattern_name,mutation_type,avg_gain_total,count_total,avg_gain_early,count_early,avg_gain_mid,count_mid,avg_gain_late,count_late
20250811_112849,rand_05AG183QLC,split,-0.016252227697167016,48,-0.011374447068759608,22,-0.01979809239801603,22,-0.023577765298738174,4
20250811_112849,rand_05AG183QLC,scramble,-0.032274473769827276,39,-0.020815600975868653,19,-0.03747031461490474,17,-0.07540423667612624,3
20250811_112849,rand_05AG183QLC,inversion,-0.03638293873610434,46,-0.024917500800194562,21,-0.043368783013002336,22,-0.06541147959022087,3
20250811_112849,rand_05AG183QLC,rotate,-0.04679484693217731,45,-0.03792432043229392,23,-0.05341531752136623,19,-0.07287256969975349,3
20250811_114510,rand_05H6WP8PJX,inversion,-0.046872303892879885,37,-0.04592674823873363,22,-0.04825911885229439,15,0,0
20250811_114510,rand_05H6WP8PJX,scramble,-0.045672331338779036,35,-0.040095350327975614,25,-0.05961478386578759,10,0,0
20250811_114510,rand_05H6WP8PJX,rotate,-0.061771058271439715,31,-0.06266350981136326,12,-0.061207404667277476,19,0,0
20250811_114510,rand_05H6WP8PJX,swap,-0.04511125185104444,37,-0.047854532768689506,21,-0.04151069564663531,16,0,0
20250811_114510,rand_05H6WP8PJX,split,-0.024247802626381727,38,-0.028597947290167357,24,-0.01679041177417779,14,0,0
20250811_114510,rand_05H6WP8PJX,insertion,-0.0480854299213442,28,-0.042949660365828334,17,-0.056022528325323284,11,0,0
20250811_114510,rand_05H6WP8PJX,design_params,-0.04008453381495573,44,-0.0433002482955081,29,-0.03386748581922118,15,0,0
20250811_120845,rand_05PQL1BU0S,inversion,-0.033501752352756105,39,-0.015556296891063446,18,-0.05058827478748073,18,-0.03865535051456429,3
20250811_120845,rand_05PQL1BU0S,insertion,-0.027487407225976795,47,-0.017191993764109716,21,-0.03487837118138897,21,-0.03968609515308743,5
20250811_120845,rand_05PQL1BU0S,swap,-0.037317650894623994,52,-0.027164427473229037,30,-0.04062847728718033,16,-0.0792548976214485,6
20250811_120845,rand_05PQL1BU0S,rotate,-0.04182163130751261,37,-0.028761829356233625,21,-0.06087406911733326,13,-0.050679681123909304,3
20250811_120845,rand_05PQL1BU0S,design_params,-0.03448674641160457,51,-0.03210066667836327,23,-0.03162427469360003,23,-0.058630083087335375,5
20250811_120845,rand_05PQL1BU0S,scramble,-0.028825177074253427,32,-0.023286709174143147,21,-0.041447839675868806,10,-0.018906376960415527,1
20250811_120845,rand_05PQL1BU0S,split,-0.015535697064121149,42,-0.006279032816640176,16,-0.02078244080012345,24,-0.02662808621194135,2
20250811_121324,rand_05V1M7JE75,scramble,-0.046251564201004375,50,-0.0466990672071535,16,-0.044084328447592754,21,-0.04920171056433194,13
20250811_121324,rand_05V1M7JE75,rotate,-0.05815786571856127,57,-0.045954483679199236,28,-0.06985106355873208,22,-0.07022134352118689,7
20250811_121324,rand_05V1M7JE75,swap,-0.04580999286018109,42,-0.034171923495454073,18,-0.04610051869203364,15,-0.06860192186988087,9
20250811_121324,rand_05V1M7JE75,inversion,-0.06926864573560008,34,-0.05920658510565675,13,-0.05917277313298141,11,-0.09345478441740697,10
20250811_121324,rand_05V1M7JE75,insertion,-0.04649563292198457,53,-0.04499361541020119,22,-0.057398701097761656,18,-0.0339409527754651,13
20250811_121324,rand_05V1M7JE75,split,-0.02563884372196229,49,-0.03159669512734203,22,-0.031339327718761245,15,-0.00759051114943408,12
20250811_121324,rand_05V1M7JE75,design_params,-0.07326115858594286,65,-0.06932643608490768,31,-0.08436780440939524,23,-0.06112693527618696,11
20250811_124521,rand_072Z1RD0W5,design_params,-0.06459331013682665,38,-0.061641084781485424,21,-0.06824017675224814,17,0,0
20250811_124521,rand_072Z1RD0W5,inversion,-0.0666570067084609,25,-0.05277167111846082,15,-0.08748501009346102,10,0,0
20250811_124521,rand_072Z1RD0W5,swap,-0.056902271445506004,40,-0.05494838765068258,25,-0.06015874443687836,15,0,0
20250811_124521,rand_072Z1RD0W5,split,-0.033753873250472244,38,-0.0364530458605407,25,-0.0285631566926483,13,0,0
20250811_124521,rand_072Z1RD0W5,rotate,-0.08228685614217321,41,-0.08394429950626962,27,-0.07909035822570154,14,0,0
20250811_124521,rand_072Z1RD0W5,scramble,-0.04883591622818727,32,-0.0390741745670569,18,-0.06138672693535489,14,0,0
20250811_124521,rand_072Z1RD0W5,insertion,-0.06210710776238802,36,-0.06595495647545065,19,-0.057806570965435664,17,0,0
20250811_125814,rand_0734NLMRN9,scramble,-0.026649564514745355,46,-0.03115779037554224,23,-0.02214133865394847,23,0,0
20250811_125814,rand_0734NLMRN9,rotate,-0.04304927457703832,32,-0.029620542621341145,20,-0.06543049450320028,12,0,0
20250811_125814,rand_0734NLMRN9,split,-0.02567063668254676,36,-0.026852683403685088,23,-0.023579323252840487,13,0,0
20250811_125814,rand_0734NLMRN9,inversion,-0.0299683699748089,29,-0.02854701669223098,21,-0.03369942234157594,8,0,0
20250811_125814,rand_0734NLMRN9,design_params,-0.03106044726163171,37,-0.015840741034430714,22,-0.053382683061526506,15,0,0
20250811_125814,rand_0734NLMRN9,swap,-0.030093612818436036,48,-0.028398881730077905,29,-0.032680307637508975,19,0,0
20250811_125814,rand_0734NLMRN9,insertion,-0.01848840481520808,22,-0.02889517766770718,12,-0.006000277392209164,10,0,0
20250811_134639,rand_07EKIQJMNA,swap,-0.043653037401752685,62,-0.03607089545726218,30,-0.054083375307964796,20,-0.0452244957526254,12
20250811_134639,rand_07EKIQJMNA,rotate,-0.0513861726727184,60,-0.04447217811185562,21,-0.05534690163043272,22,-0.05480134024380097,17
